Species	AT2G31240	6733	TC05G003200	6500	6977	TC02G024400	TC09G017950	6570	6447	6483	TC00G083870	7371	TC05G027690	5772	outlier014	6139	6883	4932	TC09G009480	6532	6450	TC02G003180	5406	TC07G000920	5034	6893	TC01G019030	7325	TC07G011130	4951	6034	6954	6631	TC04G030670	7602	4724	6227	TC06G016050	5318	AT3G04880	6320	6407	6363	6565	KT377126.1	TC04G026920	TC00G047210	7628	KT377094.1	TC06G006880	5843	5578	6962	6406	5960	5981	5942	5816	6164	TC09G025650	6797	TC01G032610	6439	5933	NM_179236.3	6420	6875	TC01G021540	AT5G13520	5639	TC03G028600	outlier002	5866	6274	NM_001198514.1	5990	TC04G015820	5354	5945	outlier010	7111	TC01G040040	5918	6430	7363	4890	6448	AT5G50280	AT2G35790	5842	outlier001	outlier011	6004	5926	6064	6265	5427	6492	6865	5328	5163	5469	7028	5343	NM_124699.3	5531	6848	5870	AT3G46610	5464	TC01G019250	5162	6383	6785	7194	5536	6238	7241	5326	AT3G56460	7128	5699	7021	TC05G029300	6780	KT377102.1	6366	6557	7333	AT3G10150	6978	TC09G034320	TC03G025580	5296	4954	6000	6601	TC02G023190	AT1G63680	AT5G64370	5802	AT1G02020	AT4G15420	TC03G023900	AT4G39520	6150	AT5G55960	6507	5220	6552	6460	6792	5841	5821	AT5G08530	AT2G01650	6924	6854	7029	5865	6859	5489	6459	5188	TC03G001430	5980	5138	TC01G005310	TC09G007890	6540	TC01G033670	6130	6270	5599	5449	5032	AT5G13630	AT5G02860	TC02G026940	6098	AT5G13030	TC01G002420	5335	6705	5656	5177	6488	6221	4796	outlier006	7367	outlier013	TC04G028160	4848	6128	6412	5434	6506	6318	7336	5339	6110	5460	5919	6148	6958	KT377086.1	6550	AT5G23940	5064	6641	6860	5941	5644	5791	6914	7024	6882	TC07G000500	AT4G38890	6387	AT3G53700	7135	5936	7141	6782	6299	5702	AT3G24190	4691	AT4G00740	4806	5968	6457	6528	AT3G56940	outlier003	6114	6909	6864	4744	TC04G019470	6036	5366	AT5G40440	TC06G011670	6051	AT1G48520	5123	6378	6679	5913	6494	5454	5116	5206	AT3G59040	TC03G002530	TC05G024510	5426	AT3G02760	6401	5594	5857	AT1G17160	4471	6779	6969	5949	outlier005	6620	6379	5428	5355	6405	6216	TC09G004790	AT1G52310	5421	KT377070.1	4942	5347	6933	5596	7273	TC02G006310	outlier004	TC09G010970	TC02G004290	5849	TC03G012430	6487	TC06G020780	5264	5333	AT3G54690	6393	AT5G13400	6282	6636	6050	TC05G008010	5977	5463	outlier009	5634	6979	5660	6527	6732	7279	6226	AT5G57930	TC02G009310	4889	6048	5348	7572	5703	7577	AT2G35130	6533	6946	NM_148067.4	5733	4992	7331	TC04G030490	6072	TC09G026260	5260	TC08G013000	6198	5271	5554	6531	6947	5273	6667	5859	AJ133743.1	TC05G005750	outlier007	5716	AT4G33945	6913	5893	6119	6791	KT377078.1	6995	TC03G010340	5477	7174	7324	6284	5090	6544	6398	5815	AT3G54090	6825	6056	7136	5398	6175	TC09G026350	5664	6713	4757	5910	7583	6955	5104	AT3G26782	5770	7296	outlier008	6563	4793	4802	AT1G65380	AT2G33630	TC01G007130	KT377118.1	TC05G022880	NM_113708.2	5614	6041	5940	AT5G21070	6538	outlier012	6639	5958	5513
SRR10245050	390	0	0	0	0	201	216	0	0	0	0	0	279	0	0	174	0	168	216	0	0	237	99	234	0	0	0	0	198	0	0	0	0	150	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	0	0	0	0	0	0	225	0	375	0	0	402	210	213	240	0	0	255	0	0	0	0	0	768	0	0	0	0	207	0	0	0	0	0	252	276	0	0	0	0	150	0	0	0	0	0	213	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	141	0	0	0	0	0	0	0	0	102	249	0	210	0	0	366	567	114	0	201	258	204	186	0	207	0	0	0	150	0	0	0	438	0	0	0	0	0	0	0	207	0	159	0	0	303	0	0	420	0	0	0	0	0	378	0	279	117	243	186	0	0	0	0	0	0	0	0	0	0	291	0	0	0	195	0	0	0	0	0	0	240	0	0	0	114	0	0	0	0	0	96	0	0	0	0	261	114	0	414	0	0	0	0	0	0	282	0	375	0	0	0	0	303	0	0	0	0	0	369	231	0	294	0	93	231	0	0	0	0	165	0	0	0	150	216	0	0	186	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	237	0	162	0	0	0	144	0	153	0	0	249	156	0	156	0	243	0	0	0	117	0	0	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	246	240	0	0	0	0	0	132	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	249	0	0	0	219	0	156	0	0	87	0	0	0	0	135	123	0	0	0	0	0	0	0	198	0	0	0	0	0	0	171	267	150	0	324	0	0	0	0	0	0	0	0	0	0
SRR10245051	786	0	528	819	150	930	1587	0	354	297	873	0	570	0	0	231	423	228	753	96	375	582	258	270	369	0	276	141	456	0	0	225	0	597	0	168	366	459	234	900	336	114	120	0	372	1035	435	0	213	774	0	204	66	0	0	0	327	144	0	681	360	489	99	120	1041	231	747	426	876	126	240	0	0	261	0	207	870	0	234	72	0	720	96	87	0	0	120	1299	189	0	0	0	177	150	0	0	168	144	93	288	690	153	225	729	0	0	189	57	1419	228	1641	210	0	0	120	0	228	0	396	261	276	387	267	0	0	159	0	0	675	501	141	582	1341	0	837	0	129	723	1344	249	0	1542	441	372	294	0	882	0	195	0	285	234	252	219	687	1398	387	105	141	522	198	0	207	0	753	372	0	303	1002	0	279	156	0	0	189	0	2136	1749	642	522	279	564	111	0	0	0	261	0	243	0	0	0	492	615	0	0	324	0	0	0	120	321	111	561	195	0	162	267	855	0	180	162	213	213	120	192	0	0	834	504	0	894	96	168	225	255	0	282	522	279	678	75	255	0	204	591	0	0	171	0	0	663	282	198	255	972	297	819	120	213	0	0	228	843	180	174	393	786	762	294	1542	132	0	288	393	300	252	0	0	0	282	0	0	0	180	171	606	441	126	270	630	219	336	606	129	363	0	207	627	156	1299	147	357	864	0	636	0	696	198	0	108	0	0	186	0	129	735	0	171	0	0	0	828	435	0	0	0	159	0	0	354	348	0	303	0	711	207	918	0	492	0	981	0	222	147	135	0	465	141	453	918	1131	0	156	315	138	165	435	0	171	0	525	534	174	126	711	231	174	246	165	975	0	93	87	258	879	732	120	0	177	303	0	0	0	903	0	0	0	249	366	456	759	471	1137	297	660	279	210	159	0	249	0	0	0	354	135
SRR10245052	1506	0	528	747	300	1239	1971	0	354	300	2070	0	372	0	0	231	423	450	759	96	354	420	591	270	462	0	879	240	456	399	0	327	0	597	120	168	591	468	207	675	192	114	768	0	372	1131	747	0	213	1164	0	204	159	0	0	0	327	189	0	681	414	477	99	330	1380	231	1335	426	1386	126	399	0	81	0	0	183	1866	0	423	114	0	819	258	87	0	141	363	1944	276	0	0	0	177	150	0	0	246	144	84	288	690	153	225	729	0	0	261	57	1593	228	1641	633	0	0	135	0	228	0	396	549	117	387	345	0	0	159	0	0	765	501	141	1389	1341	0	822	339	237	1188	1719	777	0	1542	807	636	492	0	1392	0	195	0	285	222	270	234	1245	1398	480	105	141	654	423	0	207	0	771	417	378	528	1101	0	786	231	0	258	189	0	3444	1899	1308	969	1008	1023	165	0	0	0	288	0	243	0	0	0	954	1674	0	0	276	0	0	0	120	291	0	642	162	0	162	267	855	0	180	168	213	213	120	375	0	0	1539	783	0	1227	135	690	225	336	0	420	879	462	1056	0	204	0	204	303	0	0	171	0	0	663	282	141	552	1143	507	843	291	162	0	0	228	915	180	174	591	801	1641	294	1992	501	0	288	465	495	252	0	0	0	282	0	0	0	189	171	723	1302	147	270	666	219	336	606	213	441	150	207	627	156	1305	156	1461	864	0	636	0	1755	198	0	147	0	0	186	0	210	816	0	177	0	0	0	828	675	0	0	0	159	0	0	1194	567	0	429	0	975	207	1071	0	492	0	981	0	195	147	135	0	444	141	615	954	1260	0	156	381	279	165	1038	0	198	0	639	624	0	126	711	273	243	246	90	1074	171	93	99	366	879	822	0	0	177	354	0	0	0	1287	0	0	0	249	666	549	1683	672	1266	450	660	345	186	159	0	474	0	0	0	354	135
SRR10245053	1506	0	591	669	270	1239	1938	0	354	300	2070	0	759	0	0	231	423	450	621	96	348	864	591	270	369	0	276	240	456	0	0	363	0	858	0	168	591	471	327	525	189	0	729	0	372	1113	1131	0	213	1164	0	204	252	0	0	0	327	189	0	681	564	489	99	279	1380	231	747	426	1164	126	564	0	0	537	0	207	780	0	423	108	0	819	201	66	0	141	288	1566	276	0	0	0	177	150	0	0	246	144	84	288	690	153	225	729	0	0	261	57	1404	291	1641	285	0	0	120	0	0	0	396	279	309	375	405	0	0	159	0	0	633	501	225	1389	1341	0	657	423	210	1188	1734	363	0	1542	951	636	324	0	1392	0	195	0	285	123	270	234	978	1419	549	105	141	531	267	0	207	0	771	333	0	528	1632	0	786	231	0	0	189	0	3444	1899	885	969	1008	1023	216	0	0	0	414	0	243	0	0	0	954	1392	0	0	324	0	0	0	120	339	0	642	0	0	162	267	855	0	180	126	213	213	120	375	0	0	1545	783	0	1266	171	720	189	255	0	420	879	474	1056	0	255	0	204	591	0	0	108	0	0	663	282	270	552	1074	507	843	291	192	0	0	228	1002	147	174	1092	801	1638	492	1992	534	0	288	465	426	252	0	0	0	282	0	0	0	192	171	729	876	72	270	654	219	336	606	201	240	135	207	627	132	1326	156	1455	864	0	1011	0	1755	198	0	174	0	0	186	0	324	816	0	177	0	0	0	624	456	0	0	0	159	0	0	579	567	0	429	0	975	204	1071	0	492	0	981	0	186	147	99	0	474	141	615	954	1233	0	156	381	279	165	1641	0	198	0	639	624	0	126	711	255	243	246	306	510	0	123	288	183	879	822	0	0	177	402	0	0	0	909	0	0	0	249	387	552	1674	1248	1266	435	660	276	0	159	0	474	0	0	0	354	135
SRR10245054	1506	0	528	882	270	1239	1938	0	354	318	2067	0	759	0	0	231	423	450	759	96	426	864	258	270	312	0	279	240	456	0	0	528	0	858	231	168	591	471	135	900	660	267	945	0	363	1149	441	0	213	1164	0	195	300	0	0	0	327	264	0	681	561	270	99	510	1380	231	747	426	1149	126	360	0	0	591	0	207	1866	0	429	114	0	819	255	0	0	141	324	1371	276	0	0	0	177	150	0	0	267	435	84	288	690	153	309	735	0	0	267	57	1656	294	1641	534	0	0	195	0	714	0	396	549	381	375	342	0	0	159	0	0	573	570	165	1389	1341	0	837	597	210	1188	1734	453	267	1539	1188	636	492	0	1392	0	192	0	285	234	270	234	1245	1398	480	105	141	495	276	0	207	300	771	633	327	528	1623	0	786	243	0	393	189	360	3444	1791	1308	969	1008	1023	111	231	132	0	339	0	204	0	0	0	954	1638	0	0	324	0	327	0	120	342	0	582	252	0	162	267	855	0	180	162	213	213	282	375	0	0	1545	804	0	1272	0	249	225	336	0	423	879	366	1056	126	246	0	204	561	0	0	171	0	0	663	282	417	552	1143	240	627	291	234	0	717	228	1026	180	174	540	801	1638	492	2355	0	624	288	465	474	324	0	246	0	282	0	0	0	192	219	729	1308	147	270	666	219	336	606	171	441	114	207	624	156	1308	156	1731	864	234	1011	0	1203	198	0	0	0	210	186	0	306	342	0	177	0	0	171	828	453	0	0	132	159	0	0	639	567	0	429	0	1128	216	1071	0	492	0	585	0	195	147	135	0	477	141	615	954	1260	0	156	381	279	147	1506	0	198	0	642	624	144	126	711	255	243	378	177	1074	195	93	165	366	852	822	141	0	177	336	0	0	0	939	0	0	0	246	273	585	1539	1248	1266	450	660	357	891	159	0	474	0	63	0	354	135
SRR10245055	1506	0	528	483	270	1239	1938	0	261	297	2070	0	759	0	0	231	441	450	759	120	399	444	591	270	288	0	279	240	456	474	0	180	0	597	0	168	591	471	138	900	159	267	426	0	258	909	0	0	216	1164	0	195	207	0	0	0	327	342	0	681	558	489	99	474	1380	231	1335	426	1386	126	519	0	0	591	0	207	1866	0	240	114	0	819	255	87	0	141	348	1299	276	0	0	0	177	150	0	0	207	435	84	288	639	153	246	702	0	0	189	57	1656	252	1641	207	0	0	135	0	228	0	396	549	381	375	342	0	0	159	0	0	753	501	141	1389	1341	0	837	345	186	723	1734	777	171	1539	1407	636	492	0	1392	0	195	0	285	234	270	234	1245	1395	480	105	141	519	318	0	207	285	708	579	378	528	1095	0	786	291	0	285	189	234	3444	1791	1308	960	1008	1023	171	222	0	0	198	0	243	0	0	0	954	1626	0	0	324	0	351	0	120	324	0	642	0	0	162	267	855	0	180	168	213	213	168	375	0	0	1887	801	0	1272	135	249	225	336	0	423	879	321	1056	126	246	0	204	591	0	0	171	0	0	663	282	69	552	696	507	843	150	192	0	555	225	924	180	174	666	801	1632	294	1992	261	399	288	465	240	252	0	129	0	282	0	0	0	180	165	729	1302	117	270	666	219	333	606	174	441	114	207	627	156	1308	156	864	864	0	636	0	1755	198	0	189	0	477	186	0	0	816	0	177	0	0	0	828	435	0	0	132	159	0	0	1158	561	0	429	0	933	219	1071	0	498	0	981	0	186	147	135	0	468	141	615	954	1173	0	156	381	138	165	435	0	198	0	642	411	210	126	711	255	243	246	165	1074	0	93	87	258	852	822	123	0	177	291	0	0	0	1287	0	0	0	249	291	561	1533	822	1266	489	660	255	441	159	0	474	0	0	165	354	0
SRR10245056	1320	0	528	372	78	1239	1935	0	219	0	1677	0	759	0	0	231	210	450	759	96	0	864	240	270	96	0	279	0	456	0	0	351	0	597	0	168	321	471	108	900	189	0	345	0	243	612	0	0	213	1164	0	180	210	0	0	0	327	246	0	681	342	489	99	414	1380	231	1332	426	963	126	255	0	0	201	0	207	1866	0	240	114	0	819	87	87	0	0	111	1299	276	0	0	0	177	150	0	0	93	435	87	288	453	153	216	612	0	0	189	57	1134	138	1641	117	0	0	123	0	219	0	396	549	129	363	255	0	0	159	0	0	528	258	141	1389	1197	0	837	165	138	723	1734	777	0	1317	1407	636	492	0	1095	0	195	0	228	234	270	234	1245	1380	324	105	141	399	129	0	201	0	753	348	0	528	936	0	786	144	0	0	189	0	2655	1749	1308	969	519	1023	0	0	0	0	159	0	0	0	0	0	954	147	0	0	324	0	156	0	120	210	0	432	255	0	162	267	855	0	180	123	213	213	129	192	0	0	1410	804	0	693	135	105	225	255	0	249	879	264	1056	0	159	0	204	591	0	0	168	0	0	588	282	0	552	864	507	432	120	162	0	312	228	768	180	174	573	570	1632	294	1644	222	0	288	591	138	168	0	93	0	282	0	0	0	183	165	336	1299	0	270	399	219	234	339	168	441	108	207	624	156	1260	156	657	864	0	636	0	1644	198	0	0	0	0	186	0	153	414	0	177	0	0	0	828	435	0	0	0	159	0	0	705	240	0	429	0	708	162	1071	0	498	0	981	0	192	147	135	0	480	141	480	795	999	0	156	381	147	165	258	0	171	0	642	534	0	126	435	231	243	180	90	582	0	93	90	366	852	720	90	0	177	204	0	0	0	1287	0	0	0	249	189	201	945	822	1266	522	606	348	0	159	0	474	0	63	0	354	261
SRR10245057	1491	0	591	867	270	1239	1938	0	219	0	2067	0	759	0	0	231	423	450	750	96	204	864	480	270	369	0	279	219	456	0	0	459	0	597	0	168	591	471	108	900	264	114	699	0	243	909	0	0	213	1164	0	201	0	0	0	0	327	363	0	681	216	489	99	387	1380	231	1335	426	945	126	519	0	0	198	0	207	1866	0	246	114	0	819	201	75	0	141	270	1299	276	0	0	0	177	150	0	0	246	144	84	288	537	144	234	729	0	0	261	57	1008	252	1641	162	0	0	135	0	228	0	396	549	276	393	339	0	0	159	0	0	396	501	219	1389	1341	0	837	525	144	723	1734	777	0	1539	1407	636	492	0	1392	0	195	0	285	234	270	234	1245	1395	426	105	141	465	279	0	207	189	771	450	327	528	1044	0	786	147	0	0	189	0	3444	1749	1308	969	1008	1023	0	0	0	0	228	0	219	0	0	0	954	861	0	0	324	0	252	0	120	339	0	582	195	0	162	267	855	0	180	162	213	213	129	375	0	0	1212	549	0	1272	135	720	225	255	0	249	879	279	1056	0	159	0	204	591	0	0	171	0	0	663	282	135	552	984	507	843	120	162	0	630	228	855	180	174	594	771	1638	294	1386	348	354	288	465	387	252	0	129	0	282	0	0	0	192	165	729	1287	114	270	663	219	336	606	168	441	114	207	624	156	1290	156	1344	864	0	594	0	1755	198	0	0	0	303	186	0	159	558	0	177	0	0	0	828	435	0	0	132	159	0	0	1194	348	0	303	0	708	207	1041	0	498	0	981	0	201	147	135	0	399	141	615	954	1134	0	156	420	138	165	1425	0	171	0	642	534	0	126	711	273	243	246	165	1059	189	144	165	366	852	822	165	0	177	0	0	0	0	1287	0	180	0	246	189	417	1296	1248	1140	0	660	255	294	159	0	474	0	63	0	324	135
SRR10245058	1506	0	591	645	171	1206	1938	0	255	0	1686	0	759	0	0	231	423	366	759	96	402	864	480	270	264	0	279	189	456	0	0	516	0	597	0	168	537	471	108	900	195	267	651	0	318	933	0	0	213	1164	0	204	207	0	0	0	327	318	0	681	531	279	99	228	1380	231	1335	426	963	126	519	0	0	576	0	0	1866	0	240	114	0	819	201	75	0	141	360	1299	276	0	0	0	177	150	0	0	216	357	84	288	537	153	225	729	0	0	189	57	1596	114	1641	345	0	0	135	0	750	0	396	549	342	375	258	0	0	159	0	0	675	501	192	1389	1341	0	837	291	210	723	1734	777	267	1539	1407	636	492	0	1122	0	195	0	285	234	270	234	1245	1398	429	105	141	459	180	0	207	300	753	417	378	528	1092	0	786	225	0	120	189	0	3444	1749	1308	969	1008	1023	0	0	135	0	270	0	243	0	0	0	954	1554	0	0	324	0	240	0	120	339	0	450	195	0	162	264	855	0	180	0	213	213	144	375	0	0	1503	549	0	1272	162	309	225	303	0	423	879	279	1056	0	246	0	204	591	0	0	171	0	0	663	282	249	552	975	507	657	120	108	0	465	228	717	180	174	540	801	1638	294	1920	321	240	288	465	192	252	0	129	0	282	0	0	0	354	165	729	1302	147	270	459	204	234	606	237	441	114	207	624	156	1308	156	1221	864	0	636	0	1710	198	0	0	0	357	186	0	0	810	0	177	0	0	138	645	408	0	0	129	159	0	0	1137	459	0	429	0	780	207	1050	0	504	0	981	0	186	147	135	0	417	141	615	954	1224	0	156	381	138	159	1398	0	198	0	642	624	0	126	711	255	243	180	165	1056	0	183	165	366	852	822	141	0	177	228	0	0	0	1287	0	0	0	249	189	462	945	1248	1266	618	660	339	294	159	0	474	0	63	0	357	135
SRR10245059	1491	0	591	813	216	1239	1938	0	279	0	2067	0	759	0	0	231	423	450	750	96	360	864	240	270	369	0	279	231	456	495	0	0	0	597	0	168	591	471	135	900	189	0	570	0	372	858	0	0	213	1164	0	195	0	0	0	0	327	348	0	681	510	489	99	369	1380	231	1335	426	948	126	519	0	0	591	0	207	1866	0	240	114	0	819	201	75	0	141	117	1389	276	0	0	0	177	150	0	0	207	435	84	288	690	153	261	729	0	0	261	57	1467	285	1641	414	0	0	135	0	228	0	396	549	381	375	267	0	0	159	0	0	720	501	141	1389	1341	0	837	501	162	723	1734	777	222	1317	1407	636	492	0	1392	0	192	0	285	234	270	234	1245	1395	480	105	141	489	180	0	207	189	771	417	378	528	1029	0	786	156	0	0	189	0	3444	1899	1308	969	1008	1023	0	231	222	0	339	0	243	0	0	0	954	945	0	0	324	0	327	0	120	339	0	582	252	0	162	261	855	0	180	168	213	213	129	375	0	0	1482	804	0	1272	213	249	210	336	0	249	879	339	1056	0	213	0	204	591	0	0	171	0	0	663	282	135	552	1014	507	840	120	162	0	669	228	978	180	174	573	801	1638	294	1644	0	567	288	597	240	252	0	0	0	282	0	0	0	0	165	729	1302	129	270	666	219	282	606	237	441	114	207	624	156	1308	156	1053	864	318	636	0	1755	198	0	183	0	363	186	0	210	816	0	177	0	0	138	828	435	0	0	0	159	0	0	1116	522	0	429	0	825	210	1002	0	498	0	981	0	186	147	135	0	519	141	612	954	1260	0	156	591	138	162	1422	0	198	0	642	624	0	126	609	273	243	246	165	1059	0	93	165	366	852	822	168	0	177	0	0	0	0	1287	0	0	0	246	279	438	1290	1248	1266	408	660	276	0	159	0	474	0	63	147	354	135
SRR10245060	1014	0	528	456	240	1239	1938	0	354	0	1818	0	759	0	0	231	441	366	615	96	384	864	240	270	369	0	279	195	276	0	0	528	0	858	0	168	591	471	150	885	342	0	375	0	243	909	381	0	213	1164	0	204	252	0	0	0	327	303	0	681	309	489	99	165	783	195	747	324	1227	126	255	0	102	558	0	195	1122	0	240	114	0	390	255	87	0	189	171	1299	276	0	0	0	177	150	0	0	201	387	84	288	690	153	225	729	0	0	231	57	1038	318	846	576	0	0	126	0	231	0	396	261	339	375	159	0	0	159	0	0	393	501	156	621	1002	0	837	453	210	774	1722	363	243	1527	1407	636	300	0	1392	0	195	0	267	234	354	255	447	1395	480	105	141	627	297	0	207	117	708	417	378	528	1587	0	423	231	0	0	189	261	1308	1626	612	645	1008	615	111	231	0	0	339	0	243	0	0	0	954	921	0	0	240	0	255	0	96	339	0	642	240	0	162	273	855	0	180	276	213	213	129	375	0	0	1329	282	540	543	135	720	225	378	0	381	654	264	981	195	216	0	204	591	0	0	171	0	0	663	282	222	327	759	297	627	189	162	0	483	228	861	180	174	474	765	693	294	981	411	501	288	465	138	171	0	129	0	243	0	0	0	219	165	519	453	147	270	666	219	204	606	168	402	114	207	627	156	1326	156	450	540	183	603	0	1233	198	0	147	0	255	186	0	252	813	0	177	0	0	186	540	435	0	0	132	159	0	0	474	516	0	429	0	1005	207	846	0	498	0	504	0	186	147	135	0	612	141	615	786	570	0	156	381	147	165	435	0	171	0	372	534	0	126	711	255	243	246	165	582	0	93	165	366	522	822	0	0	177	270	0	0	0	963	0	0	0	249	291	459	1605	588	1266	351	660	366	207	159	0	255	0	63	195	354	135
SRR10245061	1368	0	528	663	165	1239	1938	0	219	297	1704	0	759	0	0	231	423	450	711	96	381	864	240	270	189	0	279	240	456	474	0	465	0	597	0	168	591	471	108	900	231	183	387	0	243	840	0	0	216	1164	0	204	186	0	0	0	327	264	0	681	342	489	99	279	1380	231	1335	426	1386	126	456	0	0	186	0	153	1866	0	240	117	0	819	198	0	0	141	180	1299	276	0	0	0	177	150	0	0	207	435	84	288	411	153	0	708	0	0	0	57	1575	138	1641	285	0	0	135	0	366	0	396	549	252	375	213	0	0	159	0	0	753	501	288	1389	1341	0	837	423	285	723	1182	777	126	1539	1407	636	492	0	1392	0	195	0	285	234	270	234	300	1335	480	105	141	357	177	0	207	0	708	354	378	528	972	0	786	156	0	0	189	0	3444	1791	1296	969	759	1023	129	0	0	0	168	0	243	0	0	0	954	1056	0	0	324	0	219	0	120	339	0	582	0	0	162	267	855	0	180	168	213	213	129	342	0	0	1545	783	0	1272	96	249	225	336	0	249	879	306	1056	126	159	0	204	591	0	0	171	0	0	609	282	69	552	696	507	843	183	162	0	300	228	882	180	174	618	786	1632	294	1992	0	384	288	465	291	252	0	0	0	282	0	306	0	192	165	348	1302	120	270	351	219	213	606	168	441	114	207	609	156	1305	156	564	864	0	636	0	1689	198	0	189	0	0	186	0	0	669	0	177	0	0	138	828	435	0	0	132	159	0	0	705	561	0	303	0	993	189	1062	0	498	0	981	0	237	147	135	0	372	141	591	954	1185	0	156	381	138	165	435	0	171	0	642	624	174	183	711	255	243	300	105	1074	0	93	159	366	852	822	165	0	177	219	0	0	0	1287	0	0	0	249	189	348	1257	822	1266	387	660	255	294	159	0	474	0	63	201	357	129
SRR10245062	981	0	528	777	207	1239	1680	0	219	297	2070	0	759	0	0	231	423	270	759	96	402	327	240	270	369	0	675	240	456	474	0	477	0	858	126	168	591	393	258	333	204	105	408	0	372	909	741	0	213	1164	0	204	0	0	0	0	327	165	0	681	216	489	99	174	576	231	1335	426	933	126	312	0	0	306	0	207	966	0	234	114	0	819	96	87	0	141	273	1551	276	0	0	0	177	150	0	0	207	144	84	288	690	153	495	702	0	0	261	57	1584	270	1641	579	0	0	135	0	207	0	396	549	342	387	408	0	96	159	0	0	684	501	153	768	1011	0	543	423	210	618	1002	777	0	1119	705	636	279	0	1053	0	195	0	285	234	270	234	1245	1398	543	105	141	531	306	0	207	300	384	417	378	303	1158	0	786	291	0	258	189	0	2601	1749	774	522	1008	339	273	0	0	0	339	0	243	0	0	0	954	1626	0	0	324	0	0	0	120	291	0	642	195	0	162	267	855	0	180	156	213	213	183	375	0	0	1545	267	0	723	96	249	225	324	0	462	879	279	1026	126	255	0	153	354	0	0	108	0	0	663	273	135	552	1068	249	843	120	213	0	0	228	855	180	174	540	801	1641	315	1005	399	327	288	465	393	252	0	129	0	282	0	0	0	192	171	606	477	123	270	666	219	426	606	168	441	135	207	627	156	1326	156	657	864	309	636	0	1755	198	0	0	0	0	165	0	168	816	0	177	0	0	138	828	417	0	0	132	159	0	0	615	567	0	429	0	855	207	1071	0	492	0	312	0	195	147	114	132	372	141	615	954	1041	0	156	381	279	165	258	0	171	0	420	393	174	126	711	231	243	246	90	1074	180	93	96	132	363	822	90	0	177	402	0	0	0	693	0	0	0	249	381	417	1377	471	1266	522	660	357	471	159	0	474	0	0	363	354	135
SRR10245063	1506	0	528	1401	300	1239	1971	0	354	657	2070	0	759	0	0	231	423	450	759	129	402	318	258	270	441	0	924	240	456	468	0	615	0	858	246	168	591	471	342	642	660	267	849	0	429	1092	873	0	213	801	0	204	300	0	0	0	327	189	0	681	564	489	99	510	1359	231	747	426	1386	126	564	0	81	591	0	207	1866	0	423	114	0	819	258	90	0	141	405	1626	276	0	0	0	177	150	0	0	492	144	165	288	690	153	495	729	0	0	339	57	1608	294	1068	744	0	0	135	0	240	0	396	549	318	387	531	0	96	159	0	0	762	465	171	1389	1341	0	546	345	318	660	1734	585	267	1542	549	636	492	0	1392	0	195	0	285	234	270	234	1245	1398	621	105	141	654	540	0	207	300	771	579	378	528	1632	0	786	291	0	267	189	267	3444	1899	1308	969	1008	486	309	0	0	0	582	0	270	0	0	0	954	2280	0	0	213	0	0	0	120	339	291	642	240	0	162	267	855	0	180	162	213	213	213	375	0	0	1545	783	480	1272	135	249	225	441	0	558	879	474	1056	0	255	0	204	591	0	0	171	0	0	663	282	417	552	1143	288	843	291	294	0	129	228	1473	180	174	618	801	984	201	1992	549	648	288	465	495	366	0	0	0	282	0	0	0	183	291	723	849	147	270	666	219	336	306	168	441	135	207	627	156	1326	156	1623	864	372	1011	0	1755	144	0	249	0	0	186	0	426	816	0	177	0	0	114	1161	675	0	0	132	159	0	0	1194	612	0	429	0	1128	204	1071	0	492	0	981	0	330	147	135	0	528	141	615	954	1200	0	156	600	279	165	435	0	282	0	639	624	462	153	711	255	243	378	183	1074	180	189	165	366	879	822	144	0	177	402	0	0	0	1287	0	0	0	249	531	555	1605	822	1266	795	660	366	513	159	0	474	321	0	447	354	135
