Species	AT3G59040	5434	6450	KT377126.1	4724	5138	6882	TC00G047210	7296	5849	6447	4793	5064	TC06G020780	5449	5634	4890	6506	7333	5536	5614	5968	AT3G56460	TC05G022880	6875	TC09G007890	5206	5664	5421	5460	5656	AT2G35790	AT1G48520	6854	5936	AT5G21070	AT5G57930	6550	5703	7367	6601	6705	6226	5815	6114	6265	AT5G13630	7174	6791	6412	5843	TC02G003400	7273	6483	6792	6072	4757	6238	6848	TC03G002530	5273	5318	5513	AT3G53700	TC03G028600	4806	5469	6282	5427	TC02G003180	6893	4802	6636	4796	5339	5981	5355	6130	7029	5926	TC01G040040	7602	5220	5699	5644	5596	AT3G26782	5941	6978	6387	TC04G028160	6378	AT3G56940	TC04G015820	6110	5933	6914	5260	5489	TC03G023900	5428	5802	6320	7583	AT3G04880	6492	6494	TC09G010970	6366	TC09G026260	AT3G46610	6041	NM_148067.4	AT5G06830	AT4G15420	4932	6379	5945	5454	TC02G026940	6459	6420	7128	AT2G43030	TC04G019470	TC01G019250	6979	AT5G50280	AT5G13030	6050	6407	5531	TC04G030490	TC03G025580	5090	TC07G000500	TC09G004790	6865	7324	6363	5296	6797	7279	6164	6270	6532	AT5G60590	AT5G02860	5463	6128	TC00G083870	TC06G016050	6909	5949	7572	5940	7141	7135	6488	AT1G63680	6439	4848	5123	TC01G019030	6732	AT2G01650	5328	AT1G65380	5716	6733	6825	AT4G38890	6785	NM_113708.2	5333	6667	5859	5264	TC02G006310	6557	TC05G024510	TC01G002420	TC04G006100	TC01G021540	6398	6119	AT4G33945	TC05G029300	6406	KT377078.1	5913	5702	5032	5188	AT1G02020	4942	TC09G017950	7136	6460	5104	5919	5960	5177	6064	KT377086.1	6004	6552	6954	6540	5866	7628	6430	AT2G33630	AJ133743.1	5990	6448	AT4G00740	KT377110.1	AT1G31780	6527	6198	6507	6782	5842	6913	AT2G31240	TC04G026920	6056	TC09G034320	6955	AT3G02760	4691	4471	AT1G17160	6969	6977	5366	6924	5918	5578	6947	TC05G008010	6051	6779	TC09G025650	5554	7331	6383	6148	7336	NM_179236.3	KT377118.1	TC02G004290	5343	KT377094.1	5816	6000	5347	5116	5733	6048	AT5G55960	5980	6401	TC03G001430	6457	6405	6544	6393	AT3G54690	5326	AT2G44660	5821	6962	6500	AT5G13520	5398	TC01G032610	7325	6533	6150	6318	TC02G023190	KT377102.1	5791	TC02G009310	AT3G10150	6036	AT2G35130	AT5G23940	5477	6933	6221	5639	6563	TC09G026350	6538	6034	7194	7371	TC05G005750	5335	TC09G009480	6531	6274	6946	5354	TC03G012430	6883	AT5G64370	7577	4951	6641	TC08G013000	TC06G006880	5977	4889	4744	6620	TC02G024400	AT3G54090	5958	5772	5893	6631	5034	5942	6565	NM_001198514.1	7241	TC07G011130	7111	6639	5163	6860	6958	5594	5271	5660	6216	AT5G67530	NM_124699.3	5770	7363	7024	TC05G003200	TC07G000920	AT1G52310	6227	AT3G24190	6299	6528	AT5G13400	5348	7021	5841	TC03G010340	5599	7028	TC01G033670	TC01G005310	5406	5464	KT377070.1	6995	TC04G030670	TC06G011670	6780	6713	5426	AT5G08530	6864	5162	5910	TC05G027690	5865	4992	6487	6139	6859	AT5G40440	AT4G39520	TC01G007130	6679
SRR10245050	282	195	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	318	330	0	0	0	0	0	0	0	243	219	0	0	228	0	138	0	0	0	0	0	0	0	0	441	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	411	300	0	144	0	0	435	0	114	0	0	0	0	0	0	141	159	282	0	0	0	96	144	222	0	0	0	285	0	120	762	0	0	0	0	0	207	0	0	0	0	0	0	165	186	0	0	0	0	0	735	105	189	0	0	0	702	207	243	0	0	369	228	0	249	468	0	0	0	228	279	0	201	222	0	0	0	0	0	0	0	0	0	150	0	0	0	0	84	0	0	0	0	0	0	0	348	0	0	0	0	0	0	213	0	0	0	0	150	0	0	0	0	0	0	231	0	249	354	366	249	0	0	249	240	0	0	0	0	0	0	234	0	90	0	150	0	0	0	0	0	198	0	0	0	0	0	0	0	156	0	0	0	558	0	129	177	0	0	0	0	0	390	0	0	102	0	240	0	0	0	0	0	0	0	0	0	0	357	93	0	0	0	0	0	0	0	534	0	261	0	0	0	0	0	0	0	0	231	0	0	159	0	0	156	0	186	0	270	0	0	0	0	0	378	0	0	0	0	327	0	0	111	0	231	342	282	0	0	0	252	0	135	0	0	0	0	192	0	219	0	0	0	0	0	0	168	0	0	0	390	258	0	0	0	270	204	87	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	417	303	0	465	0	0	111	0	141	0	309	0	0	420	147	99	0	162	0	288	0	0	0	0	162	0	0	0	279	0	0	156	186	0	294	264	189	0
SRR10245051	483	276	0	0	165	0	0	0	0	156	219	0	0	0	189	0	0	0	258	0	0	75	285	585	0	1002	174	0	0	111	0	324	648	114	147	666	825	159	0	0	159	0	0	0	0	0	2004	135	0	0	0	1794	90	144	144	0	177	0	0	708	0	171	135	906	357	0	153	198	138	591	0	135	0	0	129	0	0	231	126	159	909	0	195	384	213	552	858	213	0	0	492	162	312	1269	0	0	138	0	0	546	0	0	0	0	1029	288	234	405	0	474	1464	174	360	822	606	252	0	0	513	798	207	312	105	186	726	1869	219	1272	420	108	114	0	1062	1383	0	840	633	132	0	0	0	72	0	0	0	0	285	1941	186	0	471	309	117	0	168	0	204	0	135	1407	174	288	123	300	0	1200	288	516	150	0	0	378	0	183	0	108	222	105	750	0	1164	540	435	279	246	240	387	642	0	0	0	0	0	0	951	180	1080	0	288	0	303	0	0	0	255	180	0	0	0	0	0	0	375	966	0	120	603	156	573	174	0	0	0	0	141	666	669	186	441	0	2034	258	120	582	0	78	96	0	0	0	0	942	285	252	585	144	0	0	0	0	1080	168	882	432	357	126	0	0	180	0	0	366	213	0	717	0	0	153	0	486	396	387	0	0	0	921	258	492	141	120	0	0	909	159	0	384	534	282	627	972	534	0	0	258	312	711	0	0	120	0	660	111	660	147	0	0	0	1143	0	312	0	0	183	1041	1218	0	0	0	198	1245	456	0	0	165	0	0	327	0	1749	0	360	0	0	228	156	0	0	147	0	0	843	0	0	0	0	405	270	483	228	534	0	204	906	0	141	165	639	0	231	303	378	240	0	273	0	825	687	0	0	303	885	0	0	252	654	0	267	147	231	105	306	480	990	0
SRR10245052	879	276	0	0	165	0	0	0	0	156	219	0	0	300	189	0	0	0	258	0	0	141	1161	696	0	1101	174	0	0	0	0	417	723	114	240	951	825	159	0	0	159	0	0	0	0	0	4239	0	0	0	0	1791	90	78	150	0	177	0	0	867	0	108	135	1242	459	0	153	198	0	483	0	135	0	0	129	0	0	231	141	159	909	0	195	384	213	552	1653	213	0	0	954	162	894	1866	0	186	138	0	0	720	0	0	0	0	735	288	234	405	0	534	1704	174	507	1440	855	195	0	0	540	1212	207	312	105	177	726	1869	258	1626	1131	0	114	0	1182	1383	0	918	633	132	0	0	0	297	0	0	0	0	285	2100	186	0	144	519	171	0	168	0	0	162	0	1989	174	405	123	300	0	1422	288	783	150	0	192	1260	0	99	0	147	615	135	756	0	1740	1305	330	279	246	459	387	2091	0	0	0	0	0	0	1752	180	1983	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1098	966	0	273	1458	156	987	177	0	0	0	0	276	1725	675	0	2094	0	2541	273	252	693	0	78	96	0	0	0	0	1665	504	171	585	144	0	0	0	0	1557	168	891	432	357	126	210	0	180	0	0	1518	213	0	846	0	0	243	0	348	396	672	0	0	0	1515	360	492	222	120	0	0	1467	159	0	726	534	282	1932	972	624	0	0	258	318	1047	0	0	135	0	1245	144	810	147	0	0	0	1305	0	900	0	0	183	1041	1245	0	0	0	279	1245	1287	0	0	165	0	0	327	0	2154	0	672	0	0	228	156	0	0	162	0	0	1290	0	0	0	0	636	525	1881	537	1560	0	204	2070	0	141	165	843	0	225	972	687	255	0	273	0	825	747	0	0	303	1677	0	0	201	315	0	267	156	231	105	894	1083	1407	0
SRR10245053	1464	324	0	0	165	0	0	0	0	132	216	0	0	0	189	0	0	0	258	0	0	144	606	696	0	1635	174	0	0	0	0	651	723	114	384	645	612	159	0	0	159	0	0	0	0	0	4257	0	0	0	0	930	0	132	150	0	177	0	0	882	279	180	135	1287	471	0	153	198	0	591	0	135	0	0	129	0	0	231	141	159	909	0	195	384	213	552	1026	213	0	0	954	162	894	780	0	0	138	0	0	720	0	0	0	0	729	288	234	405	0	534	1656	174	507	1440	1167	390	0	0	648	1092	153	312	105	264	726	1872	0	1551	1131	0	0	0	1152	1383	0	732	633	132	0	261	0	189	0	0	0	0	285	1956	186	0	315	522	108	0	168	0	213	0	135	2004	174	405	123	300	0	1443	288	783	150	0	0	1260	0	108	0	147	486	129	363	0	1737	1305	690	279	246	459	387	2091	0	0	0	0	0	0	1731	180	1914	264	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1848	966	0	282	1458	156	987	177	0	0	0	0	276	1725	624	0	849	0	2583	306	186	693	0	207	96	0	0	0	0	1665	504	252	585	144	0	0	0	0	1557	168	882	432	357	186	0	0	180	0	0	1518	213	0	846	0	0	243	0	942	396	672	0	0	0	1515	360	492	267	120	0	0	1467	159	0	384	789	273	588	969	534	0	0	258	318	1047	0	0	120	0	1254	195	810	75	0	0	0	1305	0	996	0	0	183	1041	1224	0	0	0	279	1245	798	0	0	165	0	0	327	0	2154	0	672	0	0	228	126	0	0	195	0	0	1290	0	0	0	0	624	525	1881	591	1158	0	204	2070	0	141	165	843	0	0	972	687	255	0	273	0	825	690	0	0	501	1677	0	0	273	756	0	267	156	231	0	894	723	1407	0
SRR10245054	720	324	0	0	168	327	0	0	0	156	216	189	0	444	189	0	0	0	258	0	273	150	1167	696	0	1626	174	0	0	0	0	651	720	114	381	951	825	150	0	0	159	0	120	0	0	0	4254	312	0	0	0	912	90	0	0	0	177	0	0	867	255	0	135	1287	414	0	153	198	189	582	0	114	0	0	129	0	0	0	141	159	909	0	192	384	213	552	1110	213	0	0	954	213	453	1866	0	189	138	0	0	720	0	0	153	0	1029	285	195	405	0	534	0	174	507	1374	1323	477	0	177	738	1512	207	312	96	264	726	1869	0	1341	1131	0	267	0	579	1362	0	918	636	132	0	396	0	261	0	0	0	0	285	2001	186	0	0	501	171	0	168	0	132	0	150	2004	174	150	123	303	0	1233	288	0	150	0	192	1281	0	0	0	147	222	288	717	0	1740	1314	612	279	378	459	387	2088	0	138	0	0	0	147	1698	177	1905	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1851	954	0	153	1458	156	987	177	0	0	0	0	141	1632	558	0	2094	0	2556	297	282	693	0	204	96	0	0	0	0	1662	237	183	585	144	0	0	0	0	1554	318	873	432	360	126	255	0	180	0	0	1518	207	0	849	0	0	243	0	606	396	657	0	0	0	1185	360	270	0	120	0	0	1470	159	0	384	597	282	1398	996	624	0	0	258	315	1044	0	0	120	0	1194	0	810	147	105	0	0	1293	0	456	0	0	183	585	1242	0	0	0	279	1245	1284	186	0	165	0	0	327	0	2154	0	663	0	0	228	156	0	0	195	0	171	1287	0	0	0	0	696	525	1875	591	1560	0	204	2070	0	141	165	861	0	192	399	681	255	0	273	0	822	747	0	0	501	1668	0	0	177	756	0	267	156	231	279	897	663	1407	0
SRR10245055	975	324	0	162	168	0	0	0	0	156	216	174	0	0	189	0	0	0	258	0	0	150	1167	696	0	1095	174	0	0	0	0	582	723	114	99	951	825	150	0	0	159	0	0	0	0	0	4260	252	0	0	0	1818	90	78	150	0	177	0	0	729	258	0	0	1287	882	0	153	198	189	555	0	114	0	0	129	0	0	291	141	159	909	0	195	384	213	552	1650	213	0	0	954	189	894	1866	0	189	138	0	0	720	0	0	144	0	1029	81	234	405	0	534	972	174	504	1413	1872	477	0	165	300	1512	207	312	96	264	726	1869	0	1272	879	168	0	0	1182	1362	270	918	633	234	0	0	0	261	0	0	0	0	285	1965	186	0	0	522	171	0	168	0	0	0	0	2004	174	150	123	303	0	1416	288	783	150	0	0	1275	0	99	0	147	222	129	750	0	1734	1314	1134	279	246	459	384	2088	0	138	0	0	0	192	1671	177	1983	261	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1293	954	0	237	1458	156	987	177	0	0	0	0	141	1611	570	0	2094	0	2304	0	186	684	0	78	96	0	0	0	0	987	504	360	585	144	0	0	0	0	1557	168	882	432	0	126	183	0	180	0	0	1518	213	0	849	0	0	243	0	606	396	672	0	0	0	1515	258	492	0	120	0	0	909	159	87	405	528	243	1899	996	549	0	0	258	318	1047	0	0	135	0	1224	153	810	147	0	0	0	1224	0	900	0	0	183	1035	1182	0	0	0	279	1242	1284	183	0	165	0	0	327	0	2154	0	675	0	78	228	156	0	0	162	0	171	1290	0	0	0	0	588	525	1878	579	1560	0	204	2070	0	144	165	864	0	246	492	684	240	0	273	0	825	747	0	0	303	1659	0	0	165	756	0	267	156	231	135	879	897	1407	0
SRR10245056	969	324	0	162	168	0	0	0	0	156	201	189	0	231	189	0	0	0	219	0	0	75	513	600	0	1038	174	0	0	0	0	651	492	114	99	945	825	150	0	0	159	0	0	0	0	0	4257	0	0	0	0	1815	129	0	150	0	177	0	0	612	0	0	126	1287	873	0	153	198	0	609	0	108	0	0	129	0	0	0	141	159	879	0	195	291	213	552	1110	213	0	0	954	162	309	1863	0	0	138	0	0	720	0	0	96	0	1020	288	165	405	0	531	807	174	366	1413	1587	477	0	0	672	1482	207	312	96	225	651	1869	0	1290	630	0	0	0	1008	1206	0	918	453	132	0	120	0	72	0	0	0	0	285	1752	186	0	303	522	168	0	168	0	219	0	0	2004	174	150	123	303	0	1086	288	0	150	0	0	1281	0	120	0	147	222	135	837	0	1698	1314	1137	279	180	240	384	1845	0	138	0	0	0	0	1338	177	1953	279	228	0	459	0	0	0	255	180	0	0	0	0	0	0	687	774	0	111	1458	156	987	177	0	0	0	0	141	1413	423	0	2094	0	1845	258	120	684	0	78	96	0	0	0	0	942	504	168	585	144	0	0	0	0	1557	0	873	432	258	0	0	0	180	0	0	1518	213	0	849	0	0	243	0	339	396	600	0	0	0	1008	258	492	0	120	0	0	909	159	0	285	255	282	1398	990	534	0	0	258	318	945	0	0	0	0	603	0	642	147	0	0	0	1185	0	945	0	0	183	1035	1242	0	0	0	279	1245	1278	135	0	165	0	0	327	0	1704	0	660	0	0	228	123	0	0	162	0	0	1287	0	0	0	0	405	477	1878	171	1578	0	204	1764	0	141	165	861	0	216	942	687	240	0	273	0	822	690	0	0	303	1668	0	0	204	756	0	267	156	231	126	897	723	1236	0
SRR10245057	1728	324	0	162	168	327	0	0	0	156	186	189	0	0	189	0	0	0	258	0	294	0	1167	696	0	1044	174	0	0	0	0	651	714	114	102	921	825	150	0	0	159	0	0	0	0	0	4257	0	0	0	0	1821	153	0	0	0	177	0	0	699	0	0	135	1287	882	0	144	198	0	591	0	114	0	0	129	0	0	0	141	159	909	0	195	384	213	552	843	213	0	0	954	162	420	1866	0	189	138	0	0	735	0	0	225	0	1020	288	234	402	0	534	1098	174	360	1413	1872	477	0	0	519	1473	207	267	96	264	726	1869	0	1272	876	0	114	0	1038	1362	0	918	636	132	0	180	0	189	0	0	0	0	285	1911	186	0	333	522	171	0	168	0	204	0	0	2004	174	114	123	303	0	999	288	783	150	0	156	1278	0	108	0	147	399	126	747	0	1740	1314	525	279	246	240	387	2088	0	138	0	0	0	0	1671	177	1983	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1329	954	0	273	1458	156	987	177	0	0	0	0	150	1398	468	0	2121	0	951	273	186	693	0	141	96	0	0	0	0	1017	504	252	585	144	0	0	0	0	1554	0	873	432	330	0	0	0	180	0	0	1518	213	0	849	0	0	243	0	606	396	663	0	0	0	972	360	492	0	120	0	0	909	159	0	384	528	282	1929	996	534	336	0	258	315	1047	0	0	135	0	1059	0	801	147	0	0	0	1167	0	945	0	0	183	1035	1242	0	0	0	279	1245	1278	0	0	165	0	0	327	0	2154	0	660	0	0	228	156	0	0	189	0	0	1284	0	0	0	0	687	525	1869	321	1551	0	204	2070	0	141	165	861	0	288	972	687	255	0	273	0	825	690	0	0	303	1668	0	0	0	756	0	267	156	231	222	897	1089	1275	0
SRR10245058	717	324	0	0	168	0	0	0	0	156	198	189	0	291	189	0	0	0	258	0	0	75	612	606	0	1092	174	0	0	0	0	651	723	114	99	951	825	150	0	0	159	0	0	0	0	0	2469	93	0	0	0	1818	216	0	0	0	177	0	0	738	243	0	135	1287	882	0	153	198	120	609	0	114	0	0	129	0	0	0	141	159	909	0	195	384	213	552	1650	213	0	0	954	162	894	1866	0	0	138	0	0	720	0	129	0	0	1029	288	234	405	0	534	804	171	408	1413	1854	390	0	138	738	1389	207	312	96	264	726	1875	276	1272	879	0	114	0	1161	1362	0	918	636	132	0	297	0	189	0	0	0	0	261	1932	186	0	513	519	171	0	168	0	219	0	0	2004	174	150	123	303	0	1149	288	0	150	0	0	807	0	99	0	147	222	135	753	0	1740	1314	672	279	180	240	387	2088	0	138	0	0	0	0	1698	177	1983	270	288	0	450	0	0	0	255	180	0	0	0	0	0	0	1851	954	0	195	1458	156	987	177	0	0	0	0	141	1722	675	0	2094	0	1845	273	186	693	0	132	96	195	0	0	0	1032	504	252	585	144	0	0	0	0	1554	150	873	432	360	0	159	0	180	0	0	1302	129	0	849	0	0	243	0	606	396	624	0	0	420	972	360	279	0	120	0	0	909	159	0	384	528	282	1881	996	534	0	0	258	318	1047	0	0	135	0	1146	0	810	147	105	0	0	1278	0	945	0	0	183	1035	1242	0	0	0	279	1188	1272	189	0	162	0	0	327	0	2154	0	627	0	0	228	0	0	0	195	0	0	1287	0	0	0	0	696	525	1881	486	1560	0	204	2025	0	126	165	861	0	288	465	687	240	0	273	0	822	747	0	0	303	1653	0	0	159	756	0	267	156	231	228	861	714	1407	0
SRR10245059	726	324	0	0	168	327	0	0	0	156	219	189	0	252	189	0	0	0	258	0	0	144	621	696	0	1029	174	0	0	0	0	651	720	132	381	525	825	135	0	0	159	0	0	0	0	0	4257	279	0	0	0	1821	90	0	0	0	177	0	0	777	240	0	135	1287	882	0	153	198	0	609	0	114	0	0	129	0	0	0	141	159	909	0	192	384	213	552	1647	213	0	0	954	162	891	1866	0	0	138	0	0	726	0	0	0	0	1029	288	234	405	0	531	0	174	507	1413	1872	477	0	147	300	1512	207	312	96	264	726	1869	0	1272	1131	108	0	0	1113	1362	0	918	552	132	0	357	0	0	0	0	0	0	285	1932	186	0	0	522	171	0	168	0	204	0	0	2004	153	402	123	303	0	1233	288	0	150	0	0	1281	0	99	0	147	405	126	750	0	1740	1314	1134	279	246	459	654	2088	0	138	0	0	0	0	1332	174	1983	282	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1851	954	0	120	1458	156	987	177	0	0	0	0	141	1563	648	0	2094	0	1845	333	186	684	0	141	96	0	0	0	0	1617	504	252	585	144	0	0	0	0	1557	0	873	432	360	0	165	0	180	0	0	1518	213	0	849	0	0	243	0	606	396	624	0	0	0	972	360	492	0	120	0	0	1470	159	87	384	528	282	507	996	576	0	0	258	246	1047	0	0	135	0	1299	0	810	147	0	0	0	1278	0	945	0	0	183	1038	1242	0	0	0	279	1245	1275	135	0	165	0	0	327	0	2154	0	660	0	0	228	156	0	0	171	0	0	1287	0	0	0	0	696	525	1881	591	1560	0	204	2070	0	141	165	861	0	261	363	684	240	0	273	0	822	747	0	0	303	1668	0	0	0	756	0	267	156	231	105	903	870	1407	0
SRR10245060	726	324	0	0	168	0	0	0	0	156	219	189	0	222	189	0	189	0	258	0	0	144	582	696	0	1590	174	0	0	0	0	651	723	114	369	390	825	150	0	0	159	0	0	0	0	0	1041	171	0	0	0	927	153	0	0	0	177	0	114	711	282	150	135	543	903	0	153	198	189	582	0	114	0	0	96	0	0	156	141	159	390	0	195	384	189	552	957	213	0	0	954	162	558	1122	0	189	138	0	0	720	0	0	90	0	1011	288	234	405	0	534	795	174	462	786	1149	390	0	165	654	672	207	306	96	153	726	969	0	1272	1131	0	267	0	846	435	270	918	633	132	0	168	0	135	0	0	0	0	285	1965	186	0	498	522	171	0	168	0	219	0	135	1992	174	141	120	303	0	1419	288	783	150	0	0	432	0	99	0	147	222	291	504	0	1740	594	1134	279	246	459	387	774	0	138	0	0	0	111	675	177	1830	228	270	0	549	0	0	0	255	180	0	0	0	0	0	81	573	804	0	111	1008	156	510	177	0	0	0	0	141	1590	762	0	429	0	792	273	186	684	0	207	78	0	0	0	0	1665	285	228	585	144	0	0	0	0	1557	543	879	432	360	0	255	0	180	0	0	1518	213	0	849	0	0	243	0	606	396	663	0	0	0	1515	360	492	0	120	0	0	909	159	0	384	255	282	594	996	270	0	0	258	318	1047	0	0	135	0	813	111	660	147	105	0	0	1245	0	468	0	0	183	510	1242	0	0	0	243	1245	789	192	0	165	0	0	327	0	2154	0	369	0	93	228	156	0	0	195	0	171	714	0	0	0	0	678	477	582	591	450	0	204	1353	0	108	165	864	0	225	408	687	240	0	273	0	825	690	0	0	282	432	0	0	186	315	108	267	156	231	129	426	309	1407	0
SRR10245061	540	324	0	162	168	0	0	0	0	156	153	0	0	294	189	0	0	0	258	0	0	150	1167	579	0	972	174	0	0	0	0	651	705	114	99	951	825	150	0	0	159	0	0	0	0	0	4257	141	0	0	0	1626	90	78	0	0	177	0	0	648	0	0	129	1287	834	0	153	198	174	591	0	114	0	0	129	0	0	0	141	159	909	0	195	384	213	552	1653	213	0	0	954	162	843	1848	0	0	138	0	0	720	0	0	141	0	1029	147	234	405	0	534	903	174	408	1410	1521	477	0	138	519	1512	207	312	0	264	672	1887	0	1272	879	186	0	0	1032	1362	0	918	465	234	0	273	0	93	0	0	0	0	285	2037	186	0	573	522	171	0	168	0	216	162	135	2007	174	390	123	303	0	1416	288	783	150	0	0	1260	0	108	0	147	222	240	747	0	1734	1335	1137	279	300	240	384	2088	0	138	0	0	0	0	1671	177	1983	264	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1293	954	0	180	1458	156	573	177	0	0	0	0	141	1461	468	0	2094	0	2304	0	186	684	0	78	96	0	0	0	0	1005	504	222	570	144	0	0	0	0	1557	135	876	432	0	126	0	0	180	0	0	1518	213	0	849	0	0	243	0	606	396	672	0	0	207	1515	360	492	0	120	0	0	909	159	87	405	528	282	1398	972	534	0	0	258	318	1047	0	0	135	0	687	111	660	147	111	0	0	888	0	930	0	0	183	1035	1242	0	0	0	279	1242	1284	192	0	165	0	0	327	0	1749	0	585	0	78	228	156	0	0	195	0	0	1293	0	0	0	0	405	525	1881	249	825	0	204	2070	0	141	165	864	0	0	672	687	240	0	273	0	825	747	0	0	303	1689	0	0	219	756	0	267	156	231	135	894	885	1407	0
SRR10245062	720	315	0	0	165	0	0	0	0	156	216	0	0	0	189	0	0	0	258	0	0	75	345	696	0	1158	174	0	0	0	0	639	723	114	102	951	825	159	0	0	159	0	0	0	0	0	4239	288	0	0	0	1794	90	144	165	0	177	0	0	894	270	108	135	723	906	0	153	198	138	408	0	135	0	0	129	0	0	168	141	159	459	0	195	384	213	552	543	213	0	0	954	195	420	1866	0	174	138	0	0	720	0	0	150	0	1029	285	234	405	0	534	1629	174	507	1440	861	390	0	0	612	774	207	312	96	264	726	1869	231	1533	1131	0	114	0	618	1383	0	918	372	132	0	0	0	180	0	0	0	0	213	1923	165	0	0	522	171	0	168	0	204	0	135	1371	114	141	123	300	0	1422	288	372	150	0	0	375	0	99	261	147	222	123	756	0	1740	753	384	279	246	459	387	798	0	0	0	0	0	0	999	180	1689	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	801	567	0	162	597	156	420	177	0	0	0	0	276	447	768	102	606	0	1242	273	216	693	0	141	96	0	0	0	0	1107	204	252	300	144	0	0	0	0	747	168	882	432	357	126	0	0	180	0	0	657	213	105	846	0	0	243	0	606	396	486	0	0	0	972	258	492	87	120	0	0	885	159	87	384	534	273	1161	972	534	0	0	258	318	1047	0	0	135	0	717	213	810	147	0	0	0	1305	0	345	0	0	183	315	1245	0	0	0	279	1245	1287	189	0	165	0	0	327	0	2154	0	672	0	0	228	156	0	0	162	0	171	828	0	0	0	0	480	525	1128	321	663	0	153	2070	0	141	144	843	123	291	393	351	171	0	273	0	414	747	0	0	330	567	0	0	186	756	0	267	156	231	123	894	357	1407	0
SRR10245063	1356	213	0	0	165	0	0	0	0	156	216	0	0	321	189	0	0	0	258	0	0	150	495	696	0	1635	174	0	0	165	0	651	723	114	384	936	1164	159	0	0	198	0	0	0	0	0	4239	324	0	0	0	1794	90	243	150	0	177	0	0	912	276	285	135	1287	903	0	153	144	159	513	0	135	0	0	129	0	0	291	138	159	909	0	195	384	213	552	1653	213	0	0	954	213	453	1866	0	189	138	0	0	720	0	0	150	0	927	288	234	405	0	534	1731	174	507	1440	606	477	0	0	648	1512	207	312	0	264	726	999	348	1614	1131	108	114	0	1182	1383	0	918	633	0	0	0	0	261	0	0	0	0	219	2100	186	0	0	522	171	0	168	0	219	0	150	1683	174	576	123	291	0	1422	288	783	150	0	0	1257	0	183	0	147	534	120	756	0	969	1305	378	279	378	459	684	1131	0	0	0	0	0	237	1752	180	1983	279	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1098	954	0	336	1458	156	987	177	0	0	0	0	276	1725	639	186	942	0	2556	345	333	693	0	207	96	0	0	0	0	1035	504	252	585	144	0	0	240	0	1491	318	882	432	357	222	255	0	180	0	0	1518	213	0	846	0	0	243	0	879	396	672	0	0	0	1515	360	492	237	120	0	0	1467	159	0	726	789	282	957	972	624	0	0	258	318	1047	0	0	135	0	1236	249	810	147	0	0	0	1305	0	465	0	0	183	1041	810	0	0	0	279	1245	1287	0	0	165	0	0	327	0	2154	0	672	0	276	228	153	0	0	159	0	171	1290	0	0	0	0	696	525	1398	591	1071	0	204	2067	0	141	165	843	120	252	609	684	255	174	273	0	825	747	0	0	258	1677	0	0	234	756	0	267	156	231	135	894	675	1407	0
SRR10245064	996	324	0	0	168	0	0	0	0	156	282	189	0	429	189	0	0	0	258	0	0	144	1167	696	0	1146	174	0	0	0	0	651	723	114	102	951	822	150	0	0	159	0	0	0	0	0	4257	0	0	0	0	1818	90	0	150	0	177	0	0	804	0	0	135	1287	873	0	153	198	177	609	0	114	0	0	129	0	0	0	141	159	909	0	195	384	213	552	1650	213	0	0	954	207	894	1866	0	159	138	0	0	720	0	0	150	0	1029	285	234	405	0	528	777	174	360	1062	1869	477	0	0	738	1512	207	312	96	264	726	1869	285	1290	879	108	0	0	1182	1362	0	918	603	132	0	120	0	111	0	0	0	0	273	1860	186	0	87	522	171	0	168	0	201	0	135	2004	174	150	123	303	0	1140	288	144	150	0	0	1281	0	120	0	147	222	126	765	0	1740	1314	462	279	378	459	384	2088	0	138	0	0	0	111	1698	177	1983	282	288	0	549	0	0	0	255	180	0	0	0	0	0	0	1851	954	0	264	1458	156	987	177	0	0	0	0	141	1524	501	0	2091	0	2556	258	258	693	0	141	96	0	0	0	0	1605	504	252	585	144	0	0	0	0	1554	0	873	432	360	0	165	0	180	0	0	1518	213	0	849	0	0	243	0	606	396	663	0	0	0	804	360	492	0	120	0	0	1470	159	0	384	528	282	1935	990	534	0	0	258	318	1047	0	0	120	0	1047	0	639	147	0	0	0	1305	0	945	0	0	183	1035	1242	0	0	0	279	1245	1266	132	0	165	0	0	327	0	2154	0	660	0	78	228	156	0	0	186	0	171	1287	0	0	0	0	696	477	1881	564	1578	0	204	2070	0	126	228	861	0	207	489	687	240	0	273	0	822	747	0	0	303	1668	0	0	177	756	0	267	156	231	180	504	267	1353	0
