Species	5919	TC03G023900	6036	AT4G00740	AT1G65380	5513	5941	5434	5427	5842	5162	TC03G025580	6000	4744	5366	4691	5032	5463	4932	AT3G46610	6528	outlier014	6056	6679	TC02G003180	5421	6705	6447	6320	6450	TC00G047210	AT3G56460	7028	6955	outlier009	5699	7273	6265	5960	4802	KT377094.1	5933	6924	KT377102.1	5271	TC01G019030	6430	TC09G025650	5926	6164	outlier007	5554	TC00G083870	4889	AT4G15420	5958	6865	7367	5918	TC02G023190	4796	outlier002	NM_148067.4	TC05G024510	7572	TC02G026940	5857	5333	5716	5990	6713	4942	5664	5703	AT2G31240	5870	outlier013	outlier010	AT2G01650	TC03G012430	AT5G50280	5702	5536	TC09G026350	TC09G004790	5913	5791	AT1G48520	6785	AT5G13030	6552	AT1G63680	6130	5328	6401	6544	6527	AT3G02760	6238	7296	7333	AT2G33630	AT5G55960	6825	AT4G38890	5354	5849	5772	AT3G04880	5460	TC01G019250	TC02G024400	TC05G008010	6284	4992	AT4G39520	6221	5398	7141	6995	6420	NM_124699.3	5614	5318	TC02G006310	TC01G007130	AT4G33945	6636	6405	5489	5841	5977	TC09G034320	6487	7577	6406	TC01G021540	5949	6570	5578	7024	6387	TC03G010340	TC09G009480	6110	6114	5177	4757	TC09G017950	6139	6072	TC06G011670	5816	TC09G010970	6216	6048	5206	6041	6270	6274	6064	6979	5138	6226	4724	6494	6507	7135	TC05G005750	TC03G002530	6641	6448	7336	6779	6962	5940	6004	AT5G21070	TC02G009310	outlier008	6733	6620	5406	5296	6782	6459	6492	TC03G028600	6565	5034	6913	NM_113708.2	6631	4793	6909	6875	6383	TC06G016050	AT2G35130	4848	6540	6667	6500	6947	TC05G029300	5942	5426	6893	AT2G35790	5945	5343	outlier011	AT3G54090	5910	5644	6175	AT5G13520	7174	6958	5104	5968	AT3G54690	6318	AT1G52310	6198	5936	6412	5596	AT3G26782	5428	5469	TC05G022880	6563	TC08G013000	5802	TC03G001430	outlier006	TC04G028160	6363	TC01G005310	6034	6148	6439	TC05G027690	6488	5347	5260	5273	7241	AT3G59040	KT377070.1	AT5G02860	AT5G23940	outlier003	6050	6557	6797	6532	7111	6933	5656	6299	5188	5865	6051	6407	KT377118.1	6601	AT1G02020	6859	4954	TC04G026920	5449	AT3G10150	6914	6098	AT5G57930	4471	AT5G40440	TC04G030490	6864	outlier005	AT3G53700	6150	6732	5843	TC04G030670	6883	5599	AJ133743.1	AT5G13630	6978	6378	5348	7279	6531	TC07G011130	7628	6882	7194	5339	5859	outlier012	7324	6954	5123	6457	TC07G000920	AT1G17160	TC06G020780	6393	5815	KT377086.1	4951	6366	7136	TC09G026260	5264	6780	TC07G000500	5733	5090	7029	6538	TC02G004290	7325	5893	AT3G24190	5531	5660	5980	5064	5477	7583	7371	AT5G13400	6506	4806	7363	6460	6398	4890	7021	5634	6119	TC01G040040	6946	5639	KT377126.1	5220	5981	7128	NM_179236.3	5355	6854	6791	TC06G006880	6128	6227	6282	6533	6969	5770	TC05G003200	6977	TC04G015820	6379	5821	AT3G56940	TC01G033670	TC09G007890	5594	6483	KT377078.1	outlier004	AT5G08530	TC01G032610	7602	NM_001198514.1	6792	6860	7331	TC01G002420	TC04G019470	5454	5866	outlier001	5163	5335	5326	5116	AT5G64370	6550	5464	6639	6848
SRR10245026	642	636	495	1056	834	264	372	498	246	0	579	1902	345	0	351	381	0	186	300	1404	378	0	93	0	789	0	174	354	354	354	672	969	495	330	0	384	240	0	0	486	213	522	480	270	330	774	87	681	150	0	0	339	2442	0	1407	354	234	0	258	1188	288	0	894	1641	618	1308	288	0	795	0	0	654	165	0	1506	438	0	114	1398	1140	1965	480	0	822	723	0	120	843	0	1548	0	1887	357	453	435	666	339	2355	477	0	759	660	1935	180	1179	0	609	0	906	0	1707	1233	1980	714	1224	768	0	1161	225	0	471	102	336	228	441	1266	381	0	426	0	270	0	1389	990	0	0	426	0	465	204	0	0	639	759	291	0	0	558	1971	468	0	1143	222	735	225	0	510	1014	0	561	0	816	0	0	690	678	0	213	1224	1287	462	363	0	252	252	0	654	531	435	0	0	492	1272	0	336	777	387	339	0	315	816	366	0	330	540	1335	0	807	1119	1713	0	300	1398	0	1635	600	1134	0	567	423	729	0	1335	402	213	1473	1539	0	0	0	255	1011	0	1500	0	942	0	1725	1437	0	687	660	657	981	0	771	0	870	753	528	0	252	459	759	450	219	0	627	0	552	828	1773	855	0	186	0	570	144	0	378	0	0	189	636	543	267	588	333	1758	408	534	1101	1062	1029	675	1176	828	495	1014	1071	0	0	570	0	0	0	858	423	0	795	4107	366	291	132	0	384	915	0	0	126	516	615	0	126	531	408	0	270	720	663	0	345	729	0	0	405	708	1503	0	1155	0	273	300	0	627	240	165	1170	0	0	591	0	294	0	0	1755	0	0	0	972	363	216	429	0	1638	1434	0	495	585	354	0	1191	1494	0	195	0	1164	0	591	468	507	0	0	591	255	1887	0	234	756	786	1632	0	300	228	135	1458	1056	246	2253	480	276	99	1023	777	1092	0	0	687	192	396	180	1107	267	459	0	261
SRR10245027	444	636	543	546	834	195	372	744	144	0	255	1419	222	0	141	246	0	186	450	1383	378	0	93	0	864	0	231	0	0	0	246	819	225	213	0	375	135	0	0	201	207	234	348	159	195	708	78	681	150	0	0	294	2373	0	1407	354	150	0	192	723	111	0	390	1638	459	1359	288	0	582	156	0	300	0	0	1254	63	0	114	1395	1140	705	249	0	441	588	303	129	552	0	837	0	1890	258	453	0	246	300	1290	0	0	696	471	1383	0	945	0	156	0	918	0	1704	1206	1248	675	648	300	0	258	225	0	339	102	210	108	441	1032	381	0	192	0	270	210	1389	426	0	0	426	132	465	204	0	0	642	528	333	0	0	222	1971	417	0	828	213	642	156	0	174	336	0	255	0	816	363	0	342	339	0	135	906	618	180	78	0	171	0	0	339	348	264	0	0	492	930	0	297	207	285	351	0	126	507	261	0	171	186	759	0	807	591	363	0	159	468	165	1590	600	630	0	252	189	423	0	582	228	213	705	1539	0	0	0	159	537	0	729	0	171	0	1368	1437	0	153	660	444	585	0	753	0	870	120	528	0	240	438	759	135	219	0	297	0	540	570	1329	855	0	0	0	213	96	0	132	0	0	189	297	1083	0	213	210	1317	177	561	768	633	654	192	669	621	192	327	897	0	0	570	0	0	0	306	210	0	801	2655	210	162	0	0	135	465	0	0	117	339	426	63	126	318	120	0	270	546	249	0	90	666	0	150	288	486	1179	0	1167	0	231	141	0	627	0	165	654	0	0	507	0	534	0	0	1731	0	0	0	285	165	231	144	150	792	879	0	258	243	315	0	108	1371	0	195	0	1164	0	552	360	240	0	0	591	78	960	0	234	330	786	1248	0	162	171	114	924	489	0	1071	384	276	159	849	753	675	0	0	387	57	396	180	459	267	186	0	189
SRR10245028	618	636	1164	1056	834	258	372	915	246	0	768	1815	345	0	171	273	0	186	450	1404	378	0	93	0	1017	0	0	354	189	354	660	969	225	330	0	288	171	0	0	489	213	351	564	270	195	732	87	681	150	0	0	294	2325	0	585	354	234	0	135	1188	204	0	495	1641	618	1308	288	0	849	135	0	450	165	0	1506	396	0	114	1398	1140	1965	420	0	822	729	0	120	627	0	1458	0	1887	297	306	192	666	504	2355	234	0	681	672	1914	0	1179	0	531	0	918	0	1707	1233	1752	714	909	768	0	1236	225	0	339	102	312	135	441	1266	381	0	384	0	270	0	1389	1053	0	0	426	0	465	204	0	0	639	759	291	0	0	558	1971	747	0	1134	294	735	165	0	459	987	0	264	0	816	375	186	690	654	0	135	1254	801	333	363	0	252	252	0	570	531	447	0	0	492	2136	0	336	582	387	564	0	372	375	351	0	633	357	1335	0	807	1194	1518	0	300	732	0	1635	600	969	0	567	234	729	0	1335	402	213	879	1539	225	0	0	255	636	0	1500	0	978	0	1797	1437	0	153	660	657	981	0	771	0	870	786	528	0	240	459	759	420	219	0	414	0	1188	735	1551	855	0	108	0	432	96	0	318	0	0	189	429	1167	267	675	234	1758	387	423	954	846	1029	375	1176	828	372	666	1071	0	0	570	0	0	0	753	423	291	966	3444	243	162	0	0	384	642	0	0	135	393	615	0	126	387	291	0	270	627	597	0	222	885	0	0	390	492	1503	0	1155	0	273	300	0	627	219	165	879	0	0	480	0	624	0	0	1740	0	0	0	972	378	141	426	150	1638	1221	0	585	687	315	0	504	1494	0	195	0	1164	0	591	360	567	0	0	591	126	1887	0	234	756	786	1626	243	300	198	135	1458	489	144	2253	525	276	105	1023	777	1092	0	0	687	219	396	180	1107	267	333	0	261
SRR10245029	642	636	1176	1056	834	264	372	915	246	0	738	1848	345	0	417	468	0	186	174	1404	378	0	189	0	489	72	0	354	342	354	786	969	495	330	0	384	240	0	0	480	213	354	459	270	195	825	87	681	150	0	0	294	2523	0	939	354	234	0	135	1188	288	0	258	1638	618	1308	288	0	933	0	0	459	246	0	1506	480	0	114	1398	1140	1965	480	0	822	723	0	120	627	0	1602	0	1902	222	453	0	666	432	2355	453	0	702	822	1941	180	1437	0	609	0	579	210	1707	1233	1983	702	1137	705	0	1161	369	0	363	102	495	147	441	1266	381	0	429	0	267	0	1389	735	0	0	426	0	465	204	0	0	639	1404	342	0	0	558	1971	468	0	1143	420	735	171	0	282	1035	0	540	0	816	375	0	690	600	0	195	1254	1164	567	363	0	252	252	0	654	669	402	0	0	492	1545	0	336	777	387	564	0	360	816	366	0	735	540	747	0	807	1194	1662	0	300	918	0	1635	600	615	0	567	234	729	0	1335	375	213	1302	1539	0	0	0	255	1011	0	1500	0	690	0	1725	1437	0	153	660	657	981	0	771	0	870	1026	528	0	240	459	759	450	219	0	336	0	1188	828	1773	855	0	0	0	564	144	0	420	0	0	294	579	561	0	687	459	1758	180	765	1029	993	918	375	1176	828	444	771	1071	0	0	570	0	0	0	858	423	294	966	2166	330	213	0	0	384	837	0	0	126	441	615	0	210	435	267	0	270	546	1443	0	186	906	0	0	693	492	1797	0	963	0	273	141	0	627	240	165	1170	0	0	606	0	624	0	0	1755	0	0	0	972	378	141	519	0	1506	1164	0	597	429	315	0	912	1494	0	282	0	1164	0	591	468	567	0	0	591	153	1887	0	234	756	786	1632	0	300	198	135	1458	1179	126	2178	522	276	150	1023	777	1422	87	0	597	216	396	180	1107	267	411	0	261
SRR10245030	642	636	1176	1056	834	264	372	915	492	0	738	1899	501	0	579	309	0	186	366	1404	378	0	93	0	912	0	0	354	660	354	771	969	495	330	0	384	168	0	0	555	291	522	480	270	195	750	72	681	309	0	0	399	2508	0	1407	354	234	0	258	1188	270	0	1056	1638	618	1308	288	0	1110	0	0	654	360	0	1506	435	0	114	1416	1140	1998	543	0	822	723	0	120	843	0	1734	0	1089	357	453	0	837	504	2355	423	0	756	672	1941	180	1437	0	609	0	573	0	1707	1233	1980	714	1140	768	0	1239	225	0	471	159	288	213	264	1266	600	0	426	0	270	0	1389	1005	0	0	906	0	465	204	0	0	639	1233	342	0	0	558	1971	747	0	1143	126	834	171	0	468	1014	0	591	0	816	435	0	690	678	0	195	1254	1119	567	423	0	597	282	0	789	669	417	0	0	492	2163	0	336	777	435	564	0	360	507	366	0	1047	540	1335	0	807	1194	1863	0	300	1398	0	1635	600	1134	0	567	423	729	0	1335	408	213	1302	1539	159	0	0	255	1011	0	1500	0	918	0	1725	1437	0	711	660	657	981	90	771	0	870	825	1029	0	240	480	759	420	219	0	654	0	1029	927	1773	855	0	0	0	627	96	0	420	0	0	294	531	768	114	705	333	1758	240	441	1233	831	1020	375	1176	1161	495	834	1071	0	0	570	0	0	0	753	423	0	963	4107	546	303	0	0	384	984	0	0	126	441	615	0	333	660	291	0	270	726	1830	0	345	903	0	0	405	813	1179	0	1236	0	492	300	0	627	240	423	1296	0	0	480	0	624	0	0	1755	0	0	0	771	378	264	519	150	1506	1242	0	597	372	354	0	1233	1494	0	282	0	1164	0	591	468	615	0	0	591	270	1791	0	234	951	786	1632	0	300	198	135	1458	1104	0	1389	522	276	0	1023	777	1473	0	0	687	270	396	180	567	267	411	0	402
SRR10245031	642	636	1176	1056	834	264	372	675	267	0	681	2073	477	0	414	468	0	186	450	1404	378	0	93	0	1308	87	231	354	354	354	951	969	495	330	0	384	240	0	0	516	243	516	501	270	330	903	87	681	309	0	0	294	2523	0	1407	354	234	0	258	1188	288	0	684	1617	618	1308	288	0	960	207	0	654	165	0	1506	480	0	114	1398	1140	1998	552	0	822	723	0	279	843	0	1560	0	1902	357	453	0	963	504	2355	666	0	771	1248	1941	180	771	0	609	0	918	0	1707	1233	1872	714	1137	768	0	1236	369	0	471	159	462	285	441	1266	381	0	426	0	267	0	1389	1071	0	0	426	0	465	204	0	0	639	1233	291	0	0	558	1971	468	0	1422	126	834	165	0	519	1029	0	516	0	816	471	0	690	1089	0	261	1254	1164	567	441	0	354	252	0	792	669	417	0	0	492	2082	0	441	771	441	564	0	360	816	369	0	939	357	1335	0	807	672	1848	0	300	807	0	885	600	843	0	567	423	729	0	1335	375	213	1428	1539	0	0	0	255	1011	0	1500	0	978	0	1725	1044	0	645	1275	657	981	0	771	0	870	1056	1029	0	252	480	759	450	219	0	621	0	669	828	1773	855	0	186	0	627	96	0	408	0	0	294	654	690	267	696	435	1758	453	1080	1284	1062	1029	375	1176	1161	468	834	1071	0	0	570	0	0	0	858	423	258	966	4092	591	192	0	0	384	1026	0	0	210	771	615	0	255	567	291	0	270	726	1509	0	345	906	264	0	405	669	1542	96	1230	0	273	408	0	627	240	111	1284	0	0	480	0	624	0	0	1755	0	0	0	972	378	141	441	177	1638	1323	0	597	372	315	0	810	1494	0	282	0	1164	0	591	273	567	0	0	591	255	1887	0	234	990	786	1632	0	360	198	135	1458	1038	0	2253	522	321	150	1023	813	1071	0	0	534	252	396	180	582	267	459	0	261
SRR10245032	642	636	495	1056	834	264	372	585	246	0	507	2067	345	0	69	315	0	186	450	1404	378	0	189	0	1164	0	231	354	189	336	735	969	495	330	0	384	237	0	0	561	282	663	642	270	195	765	87	681	309	0	0	399	1845	0	798	357	234	0	135	1188	270	0	1065	1638	618	1308	288	0	789	0	0	654	0	0	1506	438	0	108	1395	1140	1998	327	0	822	729	0	186	843	0	1503	0	1902	357	453	0	645	504	2355	231	0	756	1248	1941	180	1431	0	609	0	918	0	1707	1233	1854	714	1098	705	0	1236	369	0	471	0	465	228	441	1266	381	0	429	0	270	0	1389	1068	0	0	1248	0	465	204	0	0	618	1233	342	0	0	591	963	747	0	1212	222	735	165	0	282	1029	0	591	0	816	375	0	690	648	0	195	1254	1164	447	459	0	444	0	0	318	531	435	0	0	492	1191	0	336	777	435	564	0	273	816	366	0	258	540	1335	0	807	1194	2202	0	300	906	0	1635	600	474	0	567	423	729	0	1320	402	213	1308	1539	0	0	0	255	1011	0	1554	0	834	0	1725	1437	0	711	948	657	981	0	753	0	870	930	528	0	204	459	357	612	219	0	528	0	540	828	1227	855	0	0	0	249	96	0	336	0	0	189	609	879	267	795	333	1758	423	507	1257	993	1029	375	1176	828	495	816	1071	0	0	570	0	0	0	858	423	0	1011	4107	522	162	0	0	384	993	0	0	195	561	615	0	420	660	123	0	270	699	597	0	186	906	0	0	693	720	1542	0	1236	0	273	300	0	627	240	165	915	0	0	480	0	624	0	0	1755	0	0	0	972	378	141	531	0	1692	1254	0	597	372	351	0	576	1494	0	282	0	1164	0	591	468	615	0	0	591	270	1887	0	234	930	786	1632	0	300	198	135	1458	1200	0	1122	330	321	150	1782	813	1065	0	0	690	129	396	180	582	267	411	0	273
SRR10245033	642	636	495	1056	834	264	372	1053	249	0	783	2073	501	0	402	468	270	186	450	1404	378	0	189	0	450	141	219	354	660	402	912	969	495	294	0	384	240	0	0	561	360	444	642	270	195	687	90	681	150	0	0	348	2523	0	639	357	234	0	258	1188	288	0	1011	999	618	1308	288	462	675	144	0	654	444	0	1506	438	0	108	1395	642	1998	561	0	822	645	0	258	963	72	1746	0	2187	297	453	549	834	504	2067	402	0	756	1248	1941	180	1437	0	609	0	918	210	1707	1233	1983	714	1155	594	0	1077	369	0	477	129	831	321	441	1266	600	0	426	177	270	99	1389	1068	0	0	426	0	465	204	0	0	639	1233	291	0	0	591	1971	354	0	1428	723	735	255	0	369	1035	0	591	315	816	369	186	690	1257	0	309	1254	1161	567	459	0	231	252	0	792	669	417	0	0	492	1674	0	537	516	519	564	0	432	816	366	0	675	540	1335	0	807	1194	1641	0	300	1404	168	1635	600	1134	99	288	423	729	0	1335	408	213	1377	1539	501	0	0	255	1011	0	1500	0	978	0	1956	1044	534	153	660	657	981	267	771	0	870	948	528	0	252	459	441	450	219	0	645	0	540	1020	1773	855	0	306	0	699	144	0	420	0	0	294	654	690	267	708	417	1758	504	561	1059	1062	654	375	1176	1161	495	834	1071	0	0	570	0	0	0	858	423	258	1011	3444	516	279	132	0	384	927	0	0	120	852	615	0	420	660	327	0	270	726	1638	0	348	906	360	0	405	741	1542	270	1236	0	273	807	0	627	240	165	1170	0	0	309	0	624	0	0	1755	0	126	0	972	378	141	441	291	1638	1164	0	597	429	354	0	414	1494	0	282	0	1164	0	588	336	615	0	0	591	270	1887	0	264	861	786	1632	651	360	327	135	561	489	519	2253	534	321	150	1023	738	1092	87	0	690	234	396	180	642	267	570	144	357
SRR10245034	582	636	1164	1056	834	225	372	804	207	210	498	1443	561	0	204	432	291	186	450	1404	378	0	93	0	864	141	231	318	318	384	0	819	495	0	0	375	240	0	0	522	213	327	480	258	195	768	90	681	150	0	0	291	2481	0	1407	354	234	0	243	723	111	0	555	1638	618	1359	288	237	846	207	0	447	228	0	1506	63	0	114	1395	1140	2040	423	0	822	729	627	132	609	0	1458	0	1902	297	453	357	666	201	951	234	0	759	1248	1941	0	1257	0	288	0	918	0	1707	1212	1953	762	930	492	0	1236	225	0	339	102	495	126	441	1266	381	0	426	0	270	333	1389	762	0	0	426	201	465	204	0	459	642	759	342	0	0	576	1971	747	0	759	459	708	171	0	366	1008	0	336	75	807	375	138	627	387	0	174	1110	801	567	264	0	237	252	0	678	531	435	0	0	492	1137	0	255	639	387	255	0	402	507	366	0	237	357	1332	0	807	1194	1041	0	288	627	0	1635	600	1134	0	567	300	729	0	1326	306	213	1275	1563	315	0	0	246	1011	348	1500	0	393	0	1938	1437	552	153	660	513	981	249	771	0	870	642	528	0	252	459	759	375	219	0	627	0	669	648	1494	855	0	174	0	456	96	0	336	0	0	300	531	1206	267	594	234	1725	324	993	909	684	1002	375	657	825	375	666	1071	0	0	1263	0	0	0	597	423	120	966	3444	330	180	132	0	384	591	0	0	123	393	600	63	126	540	123	0	270	591	948	0	297	723	0	150	405	486	1293	0	1575	0	273	300	360	624	171	165	1044	153	0	477	0	624	0	0	1755	0	240	0	366	246	135	168	219	1398	1164	0	477	372	315	0	513	1371	0	282	0	1164	0	591	360	567	0	0	591	270	1887	0	234	756	786	1623	0	300	186	120	1452	489	453	2253	384	276	150	1023	777	702	0	0	576	0	396	180	1107	267	333	144	261
SRR10245035	642	636	1176	867	834	264	372	693	453	0	513	1947	423	0	417	468	0	186	366	1404	378	0	93	0	402	141	231	354	537	408	834	819	309	294	0	384	240	0	0	525	213	219	381	159	195	717	87	681	150	0	0	294	2523	0	441	357	234	0	225	1188	288	0	828	1638	618	1308	288	339	885	207	0	666	174	0	1506	249	0	114	1398	1140	1998	480	0	822	729	198	261	609	72	1506	0	1734	348	267	0	498	186	2067	339	0	714	1248	774	180	1065	0	609	0	906	210	1707	1233	1926	672	963	768	0	663	369	0	339	159	729	108	231	1266	381	0	426	0	228	0	1389	825	0	0	426	0	237	204	0	0	639	1233	291	0	0	591	1971	468	0	1080	711	831	165	0	465	1029	0	591	336	816	375	138	303	600	0	264	1155	801	462	417	0	252	252	0	654	531	675	0	0	492	1809	0	336	771	435	399	0	405	507	363	0	378	540	1335	0	807	1194	1566	0	300	918	0	735	600	528	0	567	423	522	0	636	351	213	879	1539	339	0	0	255	1011	333	1500	0	978	0	843	1437	558	153	660	657	981	177	771	0	870	954	528	0	252	459	759	576	219	0	468	0	669	828	1773	855	0	180	0	528	96	0	336	0	0	294	654	690	267	618	249	1758	423	513	975	993	1008	375	1176	828	495	816	1071	0	0	561	0	0	0	597	423	339	966	1797	375	162	132	0	210	738	0	0	156	624	615	0	126	345	258	0	270	546	1677	0	348	678	399	0	399	567	369	150	1002	0	264	300	0	627	153	165	810	0	0	309	0	624	0	0	768	0	126	0	366	246	168	339	198	1659	1392	0	573	429	354	0	1128	1371	0	282	0	1164	0	591	390	567	0	0	591	201	1887	0	234	918	786	1632	228	300	183	135	882	489	126	2253	240	276	150	549	777	714	129	0	534	198	396	180	357	267	543	246	138
SRR10245036	642	636	1164	702	834	210	372	714	207	0	798	1665	474	0	309	273	0	186	174	1404	378	0	93	0	666	141	195	354	354	354	528	969	225	294	0	384	171	0	0	417	216	141	480	159	195	714	87	681	150	0	0	294	2523	0	549	354	234	0	255	723	162	0	570	1641	459	1359	288	0	681	207	0	630	165	0	864	63	0	117	1398	1140	1950	480	0	486	606	0	120	609	0	1548	0	1734	336	453	438	333	504	1248	231	0	753	429	1920	180	1437	0	609	0	525	0	1707	906	1980	714	867	705	0	1107	225	0	339	102	201	111	441	1266	381	0	327	0	270	0	411	948	0	0	426	0	465	204	0	0	639	759	342	0	0	591	1971	423	0	1137	345	735	165	0	282	975	0	561	0	816	357	186	663	678	0	135	1260	741	333	453	0	252	198	0	177	531	675	0	0	492	774	0	336	771	399	564	0	276	816	366	0	561	357	1335	0	393	1194	1665	0	300	750	0	1635	585	819	0	567	234	729	0	1074	375	213	879	1539	222	0	0	255	501	0	1500	0	720	0	1956	975	246	153	660	657	981	267	771	0	870	387	336	0	252	459	759	390	219	0	654	0	669	876	1380	855	0	186	0	447	96	0	336	0	0	294	531	723	204	663	234	1542	285	546	990	993	1029	375	1176	828	300	834	663	0	0	447	0	0	0	597	423	111	966	1788	402	162	132	0	240	795	0	0	126	474	504	0	126	402	291	0	270	726	639	0	348	906	0	0	366	486	1503	78	687	0	264	141	0	627	240	165	648	0	0	495	0	624	0	0	1755	0	126	0	366	378	141	441	156	1491	1164	0	573	372	315	0	906	1371	0	285	0	1164	0	591	360	567	0	0	591	255	1887	0	234	756	786	1632	249	312	153	135	735	489	126	2253	441	255	150	492	777	1251	0	0	645	210	396	180	582	267	408	78	261
SRR10245037	582	636	288	678	834	132	372	462	207	0	198	1419	144	0	171	258	0	186	366	1248	378	0	93	0	579	0	0	219	354	0	420	903	216	213	0	387	0	0	0	231	201	207	462	159	195	663	0	681	150	0	0	294	1977	0	639	0	150	0	96	723	111	0	429	1641	459	858	267	222	285	0	0	348	0	0	1116	180	0	114	1416	1068	1533	246	0	822	606	0	120	609	0	837	0	1734	165	405	192	153	186	1644	207	0	612	471	1755	165	537	0	216	0	888	174	1707	1233	1293	474	696	546	0	621	225	0	339	0	198	108	441	1011	294	0	201	0	261	0	768	567	0	0	426	0	465	204	0	0	639	615	291	0	0	336	1899	336	0	792	216	735	171	0	285	753	0	288	0	699	204	0	450	345	0	0	1053	612	333	120	0	171	249	0	177	531	435	0	0	492	909	0	210	459	108	519	0	249	507	237	0	357	357	489	0	576	639	585	0	300	579	0	1299	600	423	0	441	189	531	0	555	216	213	879	858	0	0	0	90	630	0	684	0	546	0	1515	639	0	381	660	513	462	0	753	0	870	267	366	0	240	459	441	0	219	0	366	0	540	648	1440	855	0	0	0	297	102	0	192	0	0	99	429	435	0	300	159	1446	180	546	909	648	654	192	1230	828	138	666	936	0	0	543	0	0	0	354	327	0	966	1089	252	162	0	0	294	591	0	0	135	189	615	0	126	228	123	0	270	546	357	0	132	723	0	0	255	486	846	0	1305	0	231	141	0	627	174	165	453	0	0	360	0	624	0	0	1095	0	0	0	366	246	126	168	0	624	930	0	153	249	195	0	354	1371	0	225	0	486	0	486	273	240	0	0	573	78	1887	0	234	756	786	936	0	222	171	135	1011	417	126	810	384	168	99	432	516	345	0	0	426	111	396	180	582	267	333	0	189
SRR10245038	582	357	531	537	582	264	372	804	201	0	288	525	345	0	171	279	228	186	183	1404	378	0	93	0	1047	141	231	219	144	402	279	492	225	330	0	384	171	0	0	348	213	309	459	159	195	852	90	681	150	0	0	294	2424	0	516	357	219	0	87	723	219	0	429	852	459	795	288	243	798	207	0	459	171	0	1437	63	0	114	1386	1140	1293	393	0	690	606	315	129	309	0	591	0	939	252	453	357	324	183	1248	234	0	720	594	510	0	576	0	252	0	918	0	723	1233	1983	714	780	300	0	402	225	0	339	102	495	108	267	1266	381	0	342	0	270	240	768	624	0	0	426	132	465	204	0	501	642	615	339	0	0	336	1971	423	0	843	264	732	171	0	285	936	0	282	231	756	357	0	561	267	0	135	1257	801	180	288	0	228	252	0	177	336	435	0	0	492	1266	0	378	207	435	564	0	252	147	357	0	189	357	573	0	807	567	1473	0	288	699	168	756	600	699	0	567	240	423	0	582	330	210	714	1539	216	0	0	159	636	162	483	0	300	0	597	1044	0	153	660	657	309	222	771	0	867	426	420	0	246	459	759	360	219	0	414	0	540	459	1428	489	0	0	0	279	96	0	198	0	0	177	585	630	264	168	234	1524	177	558	882	786	651	375	669	828	198	342	1038	0	0	570	0	0	0	339	423	189	966	660	297	162	132	0	135	654	0	0	135	441	585	63	126	516	123	0	270	726	594	0	174	645	0	150	405	510	660	0	462	0	273	300	240	627	0	165	375	0	0	606	0	624	0	0	519	0	240	174	366	246	339	345	84	1392	1050	0	333	429	315	0	300	1371	0	195	0	783	0	318	198	348	0	0	591	213	579	0	234	426	387	1632	576	324	171	114	555	489	186	1248	384	279	150	1023	777	702	84	0	411	57	396	180	423	267	279	66	189
SRR10245039	642	312	396	909	834	264	372	591	228	0	771	735	501	0	279	468	270	186	216	1404	378	0	183	0	435	141	231	354	660	408	744	297	495	330	0	384	294	0	0	561	213	399	549	270	300	885	120	681	150	0	0	294	1653	0	765	357	234	0	255	723	288	0	1005	624	618	906	288	597	957	207	0	654	567	0	597	438	0	114	972	1140	1998	558	0	822	654	147	186	609	72	756	90	1245	357	357	549	807	339	852	486	0	762	459	414	180	360	0	609	0	687	210	957	1233	1563	714	1212	474	0	411	369	0	471	159	1179	336	231	570	600	0	426	0	270	0	768	1014	0	0	426	141	270	204	0	720	636	1233	291	0	0	591	1971	468	0	1143	756	813	219	0	282	1014	0	573	324	816	369	441	690	678	0	222	633	801	462	408	0	267	288	0	717	312	429	0	0	417	789	0	336	453	450	564	0	501	339	366	0	627	333	420	0	807	567	1887	0	300	918	228	756	396	450	0	306	483	729	0	582	408	213	372	1539	354	0	0	255	636	201	621	0	456	0	618	1125	558	153	660	657	243	237	771	0	825	510	411	0	252	459	441	450	219	0	738	0	525	960	1773	390	0	306	0	627	96	0	336	0	0	387	552	702	267	762	366	1746	555	387	1251	684	1026	375	669	828	495	363	663	0	0	306	0	0	0	858	423	429	966	558	546	213	132	0	177	927	0	0	381	450	615	0	297	660	381	0	243	546	1893	0	345	906	474	0	405	813	810	270	1839	0	273	387	300	459	153	165	609	0	0	606	0	393	0	0	960	0	123	0	366	378	216	531	240	1653	648	0	336	372	438	0	810	705	0	195	0	558	0	273	360	567	0	0	591	270	759	0	276	372	423	1632	648	360	198	135	633	489	600	1464	519	321	159	339	516	1092	87	0	687	234	315	180	354	267	432	78	402
